SKU,price,store_id,Offer Promo On List Page,Offer Info,Special Offer Attribute
FODZEROSYRUP,,1,list_page_500_promo_REWIND10,product_page_promo_block_REWIND10,1599
FODGRANOLA,,1,list_page_500_promo_REWIND10,product_page_promo_block_REWIND10,1599
FODSUPERPOT,,1,list_page_500_promo_REWIND10,product_page_promo_block_REWIND10,1599
FODPROPORRIDGE,,1,list_page_500_promo_REWIND10,product_page_promo_block_REWIND10,1599
FODCRANBRY,,1,list_page_500_promo_REWIND10,product_page_promo_block_REWIND10,1599
PILGLUCOM,,1,list_page_500_promo_REWIND10,product_page_promo_block_REWIND10,1599
PILKETONES,,1,list_page_500_promo_REWIND10,product_page_promo_block_REWIND10,1599
PILLEUC1000,,1,list_page_500_promo_REWIND10,product_page_promo_block_REWIND10,1599
PILGLUCOS,,1,list_page_500_promo_REWIND10,product_page_promo_block_REWIND10,1599
PILOMEGA369,,1,list_page_500_promo_REWIND10,product_page_promo_block_REWIND10,1599
POWCREA,,1,list_page_500_promo_REWIND10,product_page_promo_block_REWIND10,1599
POWPROWATER,,1,list_page_500_promo_REWIND10,product_page_promo_block_REWIND10,1599
POWDIETAD,,1,list_page_500_promo_REWIND10,product_page_promo_block_REWIND10,1599
POWALLDAY,,1,list_page_500_promo_REWIND10,product_page_promo_block_REWIND10,1599
POWCOCOFLO,,1,list_page_500_promo_REWIND15,product_page_promo_block_REWIND15,1599
PILLULTRAOMEGA,,1,list_page_500_promo_REWIND15,product_page_promo_block_REWIND15,1599
POWWHEM90,,1,list_page_500_promo_REWIND15,product_page_promo_block_REWIND15,1599
FODSAVPAN,,1,list_page_500_promo_REWIND25,product_page_promo_block_REWIND25,1599
PILCOCODETOX,,1,list_page_500_promo_REWIND25,product_page_promo_block_REWIND25,1599
PILGARCINIA,,1,list_page_500_promo_REWIND25,product_page_promo_block_REWIND25,1599
PIQOMEGA,,1,list_page_500_promo_REWIND25,product_page_promo_block_REWIND25,1599
ACCMIXMLTD,,1,list_page_500_promo_REWIND30,product_page_promo_block_REWIND30,1599
ACCMIXM ,,1,list_page_500_promo_REWIND30,product_page_promo_block_REWIND30,1599
ACCMINI,,1,list_page_500_promo_REWIND30,product_page_promo_block_REWIND30,1599
ACCBLEND,,1,list_page_500_promo_REWIND30,product_page_promo_block_REWIND30,1599
PILCOCONUT,,1,list_page_500_promo_REWIND30,product_page_promo_block_REWIND30,1599
POWULTRACARB,,1,list_page_500_promo_REWIND30,product_page_promo_block_REWIND30,1599
POWALC,,1,list_page_500_promo_REWIND30,product_page_promo_block_REWIND30,1599
FODCAKEPOT,,1,list_page_500_promo_REWIND35,product_page_promo_block_REWIND35,1599
